t,T,E,I
0.00000000000000000E+00,1.00000000000000000E+00,1.00000000000000000E+00,1.00000000000000000E+00
2.00000000000000011E-01,1.03665519920423010E+00,9.98078714725457949E-01,1.35378451466934502E-01
4.00000000000000022E-01,1.07465400327168870E+00,9.96317770227775568E-01,1.83661482788506081E-02
6.00000000000000089E-01,1.11404566228559698E+00,9.94721663385731203E-01,2.53181437426272223E-03
8.00000000000000044E-01,1.15488123158813760E+00,9.93295064169620434E-01,3.90492408482476293E-04
1.00000000000000000E+00,1.19721363795317370E+00,9.92042821936743646E-01,1.02384007229248966E-04
1.20000000000000018E+00,1.24109774818254870E+00,9.90969971957718188E-01,6.51505138870335781E-05
1.40000000000000013E+00,1.28659044021665769E+00,9.90081742182303604E-01,6.19360687116690835E-05
1.60000000000000009E+00,1.33375067686043902E+00,9.89383560254367911E-01,6.34010479166344172E-05
1.80000000000000004E+00,1.38263958418258159E+00,9.88881060972962800E-01,6.55844967622825958E-05
2.00000000000000000E+00,1.43332052454285175E+00,9.88580093237734214E-01,6.79459942822825252E-05
2.20000000000000018E+00,1.48585918362897917E+00,9.88486728334352027E-01,7.04196096694907457E-05
2.40000000000000036E+00,1.54032365887683498E+00,9.88607268350588209E-01,7.30005851170782146E-05
2.60000000000000009E+00,1.59678454135949255E+00,9.88948253965842738E-01,7.56929105095318315E-05
2.80000000000000027E+00,1.65531500713026358E+00,9.89516473145908626E-01,7.85022978865429217E-05
3.00000000000000000E+00,1.71599092022773059E+00,9.90318970946412747E-01,8.14348395212476924E-05
3.20000000000000018E+00,1.77889091542937883E+00,9.91363057388396474E-01,8.44971287241956645E-05
3.40000000000000036E+00,1.84409652476716235E+00,9.92656319500847095E-01,8.76961446481126967E-05
3.60000000000000009E+00,1.91169225696170231E+00,9.94206628880626275E-01,9.10392733942070876E-05
3.80000000000000027E+00,1.98176572368642834E+00,9.96022153711313085E-01,9.45344034568500007E-05
4.00000000000000000E+00,2.05440774517943092E+00,9.98111368815899236E-01,9.81898894778129692E-05
4.20000000000000018E+00,2.12971247125294250E+00,1.00048306717576740E+00,1.02014651663006139E-04
4.40000000000000036E+00,2.20777749943043622E+00,1.00314637117627581E+00,1.06018160219774473E-04
4.60000000000000053E+00,2.28870401871599904E+00,1.00611074629303099E+00,1.10210517362190066E-04
4.80000000000000071E+00,2.37259690417733804E+00,1.00938601009551587E+00,1.14602443756503479E-04
5.00000000000000000E+00,2.45956490443098907E+00,1.01298235009576487E+00,1.19205410933006083E-04
5.20000000000000018E+00,2.54972071975833803E+00,1.01691033118480112E+00,1.24031570950084309E-04
5.40000000000000036E+00,2.64318120983247118E+00,1.02118091540889888E+00,1.29093954553617782E-04
5.60000000000000053E+00,2.74006750836020085E+00,1.02580547288404778E+00,1.34406414068704129E-04
5.80000000000000071E+00,2.84050517633632493E+00,1.03079579638675489E+00,1.39983611818432090E-04
6.00000000000000000E+00,2.94462439806459120E+00,1.03616412001668246E+00,1.45841425413720813E-04
6.20000000000000018E+00,3.05256010080568885E+00,1.04192313058863228E+00,1.51996519693768000E-04
6.40000000000000036E+00,3.16445220465356059E+00,1.04808599142313774E+00,1.58467059206399656E-04
6.60000000000000053E+00,3.28044571875026936E+00,1.05466635150816868E+00,1.65271939752724921E-04
6.80000000000000071E+00,3.40069098615230647E+00,1.06167836881340305E+00,1.72431708297991293E-04
7.00000000000000000E+00,3.52534384307893323E+00,1.06913672545370519E+00,1.79968119523761028E-04
7.20000000000000018E+00,3.65456586128803984E+00,1.07705665076718216E+00,1.87904523707592885E-04
7.40000000000000036E+00,3.78852450205773028E+00,1.08545393597778905E+00,1.96265732553297040E-04
7.60000000000000053E+00,3.92739340385393643E+00,1.09434496158649219E+00,2.05078440421262967E-04
7.80000000000000071E+00,4.07135253230244576E+00,1.10374671165284077E+00,2.14370942735053483E-04
8.00000000000000000E+00,4.22058847430294826E+00,1.11367680180070106E+00,2.24173707968064202E-04
8.20000000000000107E+00,4.37529466178724746E+00,1.12415350052571972E+00,2.34519271816248175E-04
8.40000000000000036E+00,4.53567159410110232E+00,1.13519575037264575E+00,2.45442191069633814E-04
8.59999999999999964E+00,4.70192712169375415E+00,1.14682319494969276E+00,2.56979669779138300E-04
8.80000000000000071E+00,4.87427673178463206E+00,1.15905620613183657E+00,2.69171473048070349E-04
9.00000000000000000E+00,5.05294379174420705E+00,1.17191590723867423E+00,2.82060063161798755E-04
9.20000000000000107E+00,5.23815986639269315E+00,1.18542420325058995E+00,2.95690923646743274E-04
9.40000000000000036E+00,5.43016500742353880E+00,1.19960380837141267E+00,3.10112706168415818E-04
9.60000000000000142E+00,5.62920805818052461E+00,1.21447827505327388E+00,3.25377491992495530E-04
9.80000000000000071E+00,5.83554698526751903E+00,1.23007202557726636E+00,3.41541030824407807E-04
1.00000000000000000E+01,6.04944922330814894E+00,1.24641038488687061E+00,3.58663011507459866E-04
1.02000000000000011E+01,6.27119199865746246E+00,1.26351961141721736E+00,3.76807332057444149E-04
1.04000000000000004E+01,6.50106268503498885E+00,1.28142693096477567E+00,3.96042422549045653E-04
