t,Trim,Clb,Sic,PTrim,PClb,SBF,IE,Cdc20a,Cdc20,Cdh1,Swe1,Swe1M,PSwe1,PSwe1M,Mih1a,Mcm,BE,Cln,mass,BUD,flag
0.00000000000000000E+00,8.44106750000000045E-02,1.84536730000000010E-01,3.54917840000000019E-03,1.40231400000000007E-05,3.02030489999999994E-05,1.24054639999999994E-01,5.22207679999999952E-01,1.43846919999999989E+00,1.17223780000000000E+00,9.92636560000000001E-01,3.15885849999999980E-04,1.83601270000000004E-02,2.05007849999999989E-04,1.33367820000000002E-02,8.08090749999999969E-01,9.32892559999999982E-01,2.42961789999999995E-04,5.36009630000000015E-02,8.02248540000000010E-01,0.00000000000000000E+00,0.00000000000000000E+00
1.00000000000000006E-01,8.84597641251755884E-02,1.52677150420349461E-01,4.35386112160968553E-03,2.27561970078781544E-05,3.87174071075436352E-05,8.17951044002178940E-02,5.19932317077048123E-01,1.45110283684279051E+00,1.13685100761394597E+00,9.94637402139189164E-01,3.69545451435193684E-04,1.97276426516869302E-02,2.08119134559702591E-04,1.18612760273876308E-02,7.92632000800665426E-01,9.26294379482363484E-01,7.76638169989801600E-04,5.40827336527075139E-02,8.02649764567937574E-01,0.00000000000000000E+00,0.00000000000000000E+00
2.00000000000000011E-01,9.28022535931479903E-02,1.23482638298824637E-01,5.44165171955074672E-03,3.34006626117873843E-05,4.37071134940008525E-05,5.08168666518606579E-02,5.17358571833099412E-01,1.46336790988176446E+00,1.10063071033137794E+00,9.96084821688128397E-01,4.21470832839142826E-04,2.11471013852710180E-02,2.03632389953153215E-04,1.03404591159920629E-02,7.75441088418796665E-01,9.18768930816707186E-01,1.30785514973792596E-03,5.41939861128680200E-02,8.03051189798166143E-01,0.00000000000000000E+00,0.00000000000000000E+00
3.00000000000000044E-01,9.72894114690631695E-02,9.68014578747748572E-02,6.95758231696209928E-03,4.60855890805692264E-05,4.48964855069826447E-05,3.26392068705623137E-02,5.14511731134910333E-01,1.47523960141640287E+00,1.06428725204431074E+00,9.97173811402763288E-01,4.74368574411878382E-04,2.25876340665315117E-02,1.91883661689585969E-04,8.80531558459899007E-03,7.56600767283790665E-01,9.10304279007730699E-01,1.83355783024319644E-03,5.40590335757552762E-02,8.03452815791196095E-01,0.00000000000000000E+00,0.00000000000000000E+00
4.00000000000000022E-01,1.01676366424812703E-01,7.26030874588949188E-02,9.14637809970751843E-03,6.08573898079108207E-05,4.22601023046329508E-05,2.57513935320919096E-02,5.11416134153320323E-01,1.48669581484638624E+00,1.02825379995405597E+00,9.98013305145189489E-01,5.30293033812718074E-04,2.40201213050764452E-02,1.73940441230832068E-04,7.28495258003592806E-03,7.36199750182046531E-01,9.00891134844948760E-01,2.35199403720918456E-03,5.38041655633728216E-02,8.03854642647434225E-01,0.00000000000000000E+00,0.00000000000000000E+00
5.00000000000000000E-01,1.05541386498587242E-01,5.10592058550132372E-02,1.24258977337192329E-02,7.75251954241212355E-05,3.60916756454663230E-05,2.50356049286126481E-02,5.08096728872681758E-01,1.49771711680506914E+00,9.92761968872138523E-01,9.98665558387696661E-01,5.90271173038584723E-04,2.54124929956787461E-02,1.50991181881911962E-04,5.81129848799457217E-03,7.14346639019592056E-01,8.90535629703710141E-01,2.86253058615677531E-03,5.35183868025805795E-02,8.04256670467337287E-01,0.00000000000000000E+00,0.00000000000000000E+00
6.00000000000000089E-01,1.08173155449721850E-01,3.26553696101836780E-02,1.74880446297731099E-02,9.53723535093169335E-05,2.72234845017982734E-05,2.66644062943183664E-02,5.04581592551908154E-01,1.50828688212241668E+00,9.57921100224384703E-01,9.99163627448188429E-01,6.53998998676348685E-04,2.67247592330207909E-02,1.24352837233628798E-04,4.42404981584702817E-03,6.91190827169969491E-01,8.79277786989105303E-01,3.36517155653334038E-03,5.32420222489325690E-02,8.04658899351412327E-01,0.00000000000000000E+00,0.00000000000000000E+00
7.00000000000000067E-01,1.08522238668669960E-01,1.82379637361236094E-02,2.53286461878371137E-02,1.12796839538918022E-04,1.73473573409069580E-05,2.90813576717660685E-02,5.00905388890641734E-01,1.51839174107074237E+00,9.23776270155679979E-01,9.99520966766014318E-01,7.19946391607147597E-04,2.79037670706674922E-02,9.59215450657349027E-05,3.17586969593601151E-03,6.66951211858774595E-01,8.67217122336210844E-01,3.86017287727146580E-03,5.29892992708109536E-02,8.05061329400216241E-01,0.00000000000000000E+00,0.00000000000000000E+00
8.00000000000000044E-01,1.05557869165644747E-01,8.65561038547843845E-03,3.68711730120347414E-02,1.27377690186952400E-04,8.93243577262636983E-06,3.16148214200064337E-02,4.97111683472257149E-01,1.52802234307987161E+00,8.90343334534311137E-01,9.99744215312442841E-01,7.85332393522577611E-04,2.88843996519436534E-02,6.85879414257752529E-05,2.13113130922321613E-03,6.41936895344231040E-01,8.54534027055014023E-01,4.34787086182486082E-03,5.27641388211017581E-02,8.05463960714356664E-01,0.00000000000000000E+00,0.00000000000000000E+00
9.00000000000000022E-01,9.92810611971011170E-02,3.74409909694468825E-03,5.19599028104886992E-02,1.37244925178350694E-04,3.85773484502351323E-06,3.38467232659780612E-02,4.93248345381168185E-01,1.53717405513053174E+00,8.57625996212031505E-01,9.99854675182157093E-01,8.46803473095331495E-04,2.96124888457108132E-02,4.56829834612012029E-05,1.34299461287197401E-03,6.16512353683520087E-01,8.41468971278452771E-01,4.82860919196749418E-03,5.25651972349450783E-02,8.05866793394491410E-01,0.00000000000000000E+00,0.00000000000000000E+00
1.00000000000000000E+00,9.11906857209366234E-02,1.85828442072095133E-03,6.89484817885993168E-02,1.42736358995364384E-04,1.78727791504199447E-06,3.55664494849585247E-02,4.89353982510829399E-01,1.54584670680225966E+00,8.25622194429896705E-01,9.99896644243375543E-01,9.02333205223488114E-04,3.00848118492200479E-02,2.91294603439299458E-05,8.13545212850248648E-04,5.90985961865160725E-01,8.28237340783936959E-01,5.30269721983573066E-03,5.23879611797423775E-02,8.06269827541329143E-01,0.00000000000000000E+00,0.00000000000000000E+00
1.10000000000000009E+00,8.29504683072735949E-02,1.20330232888520017E-03,8.60866300947238511E-02,1.45486902838363948E-04,1.12764246356910957E-06,3.67926112902338953E-02,4.85448903987779401E-01,1.55404306189470542E+00,7.94326837843319367E-01,9.99911431231593095E-01,9.52291609964511592E-04,3.03549408063211734E-02,1.84298875381935562E-05,4.88197521586940686E-04,5.65529109526134777E-01,8.14959622336180356E-01,5.77039009322382473E-03,5.22270560173129506E-02,8.06673063255627709E-01,0.00000000000000000E+00,0.00000000000000000E+00
1.20000000000000018E+00,7.53100166810278249E-02,9.12151089333827487E-04,1.02592664879998088E-01,1.46597702922704248E-04,8.77228542839556432E-07,3.76520235945556961E-02,4.81540187464747194E-01,1.56176713337700401E+00,7.63733603757239976E-01,9.99918227271109794E-01,9.98283772815220655E-04,3.04923164974345573E-02,1.18723081449658062E-05,2.96783727425920614E-04,5.40210060795298985E-01,8.01679529400122992E-01,6.23189055935440602E-03,5.20780126410855040E-02,8.07076500638196359E-01,0.00000000000000000E+00,0.00000000000000000E+00
