time,FeDuo
0.0,0.0
17.0,-3.251558380105919e-30
34.0,-2.227856986195861e-30
51.0,3.170109423772081e-08
68.0,2.684727127903823e-08
85.0,2.4504678909244907e-08
102.0,2.2885768633251777e-08
119.0,2.1537596305290276e-08
136.0,2.0302904086283143e-08
153.0,1.9186689411808905e-08
170.0,1.8167002582868134e-08
187.0,1.7211442276879675e-08
204.0,1.6304617990975393e-08
221.0,1.5449133415609085e-08
238.0,1.4628822384111228e-08
255.0,1.3869120092989156e-08
272.0,1.3148959068837523e-08
289.0,1.2453718798537508e-08
306.0,1.1780745304361342e-08
323.0,1.116231795940389e-08
340.0,1.0573092498483418e-08
357.0,1.0008985722826152e-08
374.0,9.473756976077349e-09
391.0,8.971186318477815e-09
408.0,8.495235823315396e-09
425.0,8.044449929486728e-09
442.0,7.618108277679432e-09
459.0,7.214763892876712e-09
476.0,6.833002294818064e-09
493.0,6.471568193292973e-09
510.0,6.129682463043402e-09
527.0,5.805878830602834e-09
544.0,5.498934711989357e-09
561.0,5.208156743610795e-09
578.0,4.933186771853129e-09
595.0,4.672570713182651e-09
612.0,4.425312382156414e-09
629.0,4.191350877668408e-09
646.0,3.969926969329024e-09
663.0,3.760025571945405e-09
680.0,3.5608865692199334e-09
697.0,3.372720560822331e-09
714.0,3.1944593372378546e-09
731.0,3.02547406488067e-09
748.0,2.8653311342516843e-09
765.0,2.713916995800811e-09
782.0,2.5704596769311745e-09
799.0,2.434443069965865e-09
816.0,2.3057755752093723e-09
833.0,2.18418016724406e-09
850.0,2.0690871102079574e-09
867.0,1.9600917607386685e-09
884.0,1.8567886114747408e-09
901.0,1.758771291055664e-09
918.0,1.6658315335047893e-09
935.0,1.578225581600308e-09
952.0,1.4952430452533527e-09
969.0,1.4165997345764618e-09
986.0,1.3420207161182126e-09
1003.0,1.2712403128632205e-09
1020.0,1.2040021042321394e-09
1037.0,1.1404353252561687e-09
1054.0,1.0801991390245702e-09
1071.0,1.0230850269223042e-09
1088.0,9.689349832542304e-10
1105.0,9.176053973010714e-10
1122.0,8.689670533194134e-10
1139.0,8.22827134588139e-10
1156.0,7.790222726742893e-10
1173.0,7.37500084033316e-10
1190.0,6.98165476358185e-10
1207.0,6.609357256868022e-10
1224.0,6.257404764020142e-10
1241.0,5.924370449535156e-10
1258.0,5.603880929357558e-10
1275.0,5.299142425385792e-10
1292.0,5.009505312639348e-10
1309.0,4.734441177961637e-10
1326.0,4.4735428200199934e-10
1343.0,4.226524249305676e-10
1360.0,3.993220688133865e-10
1377.0,3.773588570643666e-10
1394.0,3.567705542798104e-10
1411.0,3.3757704623841305e-10
1428.0,3.1866989516617086e-10
1445.0,3.0040526659525054e-10
1462.0,2.83057019473431e-10
1479.0,2.6660881976435676e-10
1496.0,2.5105208298527543e-10
