t,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
0.00000000000000000E+00,0.00000000000000000E+00,1.17590568706314007E-02,0.00000000000000000E+00,3.79799887571665024E-02,0.00000000000000000E+00,3.94239990123766964E-03,0.00000000000000000E+00,2.00010981212238011E-03,0.00000000000000000E+00,0.00000000000000000E+00,1.58218330837060000E-05,0.00000000000000000E+00,2.30017456622936995E-08,1.35248196757047992E-05,9.35334724058915052E-06,3.33112104651590026E-08,0.00000000000000000E+00,0.00000000000000000E+00,0.00000000000000000E+00,2.86841656341217026E-04,3.03783614844318995E-03,0.00000000000000000E+00
1.70000000000000000E+01,0.00000000000000000E+00,1.17590568706313833E-02,0.00000000000000000E+00,3.79799887571664954E-02,0.00000000000000000E+00,3.94239990123767137E-03,0.00000000000000000E+00,2.00010981212238271E-03,0.00000000000000000E+00,0.00000000000000000E+00,1.58218330837061592E-05,0.00000000000000000E+00,2.30017456622936895E-08,1.35248196757052955E-05,9.35334724058832551E-06,3.33112104651592673E-08,0.00000000000000000E+00,0.00000000000000000E+00,0.00000000000000000E+00,2.86841656341217026E-04,3.03783614844319689E-03,0.00000000000000000E+00
3.40000000000000000E+01,0.00000000000000000E+00,1.17590568706313833E-02,0.00000000000000000E+00,3.79799887571664954E-02,0.00000000000000000E+00,3.94239990123767137E-03,0.00000000000000000E+00,2.00010981212238271E-03,0.00000000000000000E+00,0.00000000000000000E+00,1.58218330837065251E-05,0.00000000000000000E+00,2.30017456622936895E-08,1.35248196757052261E-05,9.35334724058846442E-06,3.33112104651585990E-08,0.00000000000000000E+00,0.00000000000000000E+00,0.00000000000000000E+00,2.86841656341217026E-04,3.03783614844319733E-03,0.00000000000000000E+00
5.10000000000000000E+01,3.12162337435496131E-08,1.17590866142652899E-02,4.10334224798070978E-06,3.79799492878290096E-02,4.26800345337294413E-07,3.94250005497580065E-03,3.48799618449977879E-07,2.00013572968891010E-03,3.02308259600685080E-09,3.72133569389511053E-12,1.58199920454472605E-05,1.04353859264732705E-09,2.30017456622936895E-08,1.35239605926127900E-05,9.35196587216877583E-06,3.33140243012273996E-08,4.37459668823020950E-13,4.75677444747974404E-08,2.08595458868561054E-08,2.86841429311701776E-04,3.03782955759331844E-03,3.41603019956682455E-07
6.80000000000000000E+01,2.65304873854730870E-08,1.17590740188475880E-02,4.07977208830103536E-06,3.79799416993679279E-02,4.22430711710813522E-07,3.94249832420428235E-03,2.59360926846933088E-07,2.00014007950039766E-03,2.72872990565771182E-09,3.36000966790150086E-12,1.58201596213173313E-05,9.43325925107072980E-10,2.30017456622936895E-08,1.35240575521459370E-05,9.35209622672103878E-06,3.33137895382864191E-08,1.37638871051250200E-13,3.73832558761563916E-08,3.76834212515152494E-08,2.86841529809877746E-04,3.03783218685914737E-03,3.07849230634356798E-07
8.50000000000000000E+01,2.44683643872731296E-08,1.17590724150720624E-02,3.95022165926600456E-06,3.79799433120912369E-02,4.08206004118626684E-07,3.94249511520078713E-03,2.16438029322453262E-07,2.00013794584396601E-03,2.52522373752988670E-09,3.10954068526849298E-12,1.58202801488145276E-05,8.73005730338284994E-10,2.30017456622936895E-08,1.35241185478293404E-05,9.35218855175052337E-06,3.33136107832228761E-08,1.17877470938291141E-13,3.16972618743607279E-08,5.14215366998947281E-08,2.86841612093689184E-04,3.03783313948676088E-03,2.84635471674770767E-07
1.02000000000000000E+02,2.28771887991663948E-08,1.17590713763383314E-02,3.77997227260763393E-06,3.79799467778193650E-02,3.90256405442277814E-07,3.94249114475589933E-03,1.92756359850512970E-07,2.00013503083627591E-03,2.36503500057719091E-09,2.91233011649308762E-12,1.58203770755635134E-05,8.17642335130633265E-10,2.30017456622936895E-08,1.35241641339253075E-05,9.35226160546303370E-06,3.33134627899523534E-08,1.03396242654702942E-13,2.82403727164253633E-08,6.33810266574220994E-08,2.86841651676791550E-04,3.03783349301376022E-03,2.66463446847737862E-07
1.19000000000000000E+02,2.15323957239655888E-08,1.17590705046922931E-02,3.59733176953478420E-06,3.79799500661547607E-02,3.71240660188653553E-07,3.94248686351139199E-03,1.77376361349730215E-07,2.00013258000352563E-03,2.22783378922512189E-09,2.74339105780145205E-12,1.58204608029615038E-05,7.70217624149948176E-10,2.30017456622936895E-08,1.35242023411671382E-05,9.35232430840000950E-06,3.33133335219848666E-08,9.17474340418348416E-14,2.58986614093828458E-08,7.42047757950353279E-08,2.86841664820864024E-04,3.03783365781581721E-03,2.50952572370429550E-07
1.36000000000000000E+02,2.03314257794003625E-08,1.17590697307224830E-02,3.41469125349927640E-06,3.79799528109940332E-02,3.52320395193317772E-07,3.94248252985854222E-03,1.65770003502733952E-07,2.00013067861131615E-03,2.10440116342011565E-09,2.59139218093677257E-12,1.58205363081787387E-05,7.27548991654083689E-10,2.30017456622936895E-08,1.35242365022664432E-05,9.35238075322819447E-06,3.33132165927552823E-08,8.18623720126419755E-14,2.41269447875388952E-08,8.42168491876455783E-08,2.86841666151841290E-04,3.03783377037092350E-03,2.37024551345957537E-07
1.53000000000000000E+02,1.92267196965060179E-08,1.17590690232200253E-02,3.23734427376713814E-06,3.79799550834841945E-02,3.33989345296573123E-07,3.94247828058840247E-03,1.56032744057157918E-07,2.00012917874347945E-03,1.99043353300444233E-09,2.45104321677056453E-12,1.58206060341699820E-05,6.88150648810507710E-10,2.30017456622936895E-08,1.35242680317095536E-05,9.35243287238938977E-06,3.33131085957835760E-08,7.32354936961028750E-14,2.26606398517012148E-08,9.35861084575846911E-08,2.86841663542267979E-04,3.03783387157922566E-03,2.24176946810898097E-07
