t,mRNA_R,A,R,PrmA,PrmR,C,PrmA_bound,PrmR_bound,mRNA_A_
0.00000000000000000E+00,0.00000000000000000E+00,0.00000000000000000E+00,0.00000000000000000E+00,3.96424433304223270E-04,3.96424433304223270E-04,0.00000000000000000E+00,0.00000000000000000E+00,0.00000000000000000E+00,0.00000000000000000E+00
5.00000000000000000E-01,1.10364386209326338E-03,7.94297496393052416E-02,6.37010313487447455E-05,2.07038616710071105E-04,2.70653450138199107E-04,6.79725265047990772E-04,1.89385816594152029E-04,1.25770983166024081E-04,8.39810013834380725E-03
1.00000000000000000E+00,5.32172015315027225E-03,2.90344098996191180E-01,9.93908543805090854E-05,8.86166585713674500E-05,1.44737839612915089E-04,8.23737400209426790E-03,3.07807774732855345E-04,2.51686593691308072E-04,1.51769408033905866E-02
1.50000000000000000E+00,1.02759431359268731E-02,4.74764006132532224E-01,1.38145903101826123E-04,5.91012789617298778E-05,1.02848046976445956E-04,2.77295027857117141E-02,3.37323154342492775E-04,2.93576386327777097E-04,1.69792730197881533E-02
2.00000000000000000E+00,1.47003263849868771E-02,5.86687945492319174E-01,1.87355713558756351E-04,4.91750641147491706E-05,8.74914159935310376E-05,5.90362602368736875E-02,3.47249369189473638E-04,3.08933017310691947E-04,1.75429848632855240E-02
2.50000000000000000E+00,1.83597001458266906E-02,6.38857918757207877E-01,2.49588111641806337E-04,4.56026617417092212E-05,8.17945527167374060E-05,1.00438599084746435E-01,3.50821771562513771E-04,3.14629880587485552E-04,1.77471030476440729E-02
3.00000000000000000E+00,2.12760794658356407E-02,6.48233860907190262E-01,3.28096480112921314E-04,4.50078063423696968E-05,8.08380717305710010E-05,1.50023059273247245E-01,3.51416626961853430E-04,3.15586361573652011E-04,1.77963030302406601E-02
3.50000000000000000E+00,2.35320111934566450E-02,6.27936551887088301E-01,4.27572048682266475E-04,4.62851550606185216E-05,8.28937227334075794E-05,2.06024282978621687E-01,3.50139278243604551E-04,3.13530710570815473E-04,1.77541830306739180E-02
4.00000000000000000E+00,2.52150784649599544E-02,5.87129748023154985E-01,5.55135402538140302E-04,4.90960671379409778E-05,8.73745033084488129E-05,2.66892645817259078E-01,3.47328366166282075E-04,3.09049929995774226E-04,1.76412588566347110E-02
4.50000000000000000E+00,2.63993637201970603E-02,5.31960004534498543E-01,7.22240471410526795E-04,5.34911447531167264E-05,9.42682583466199073E-05,3.31277612804203980E-01,3.42933288551106313E-04,3.02156174957603186E-04,1.74583750092462860E-02
5.00000000000000000E+00,2.71375593090386856E-02,4.66393735461609893E-01,9.48740700687866669E-04,5.98606572597158430E-05,1.04023977156855488E-04,3.97978467155343685E-01,3.36563776044507203E-04,2.92400456147367659E-04,1.71912078326046276E-02
5.50000000000000000E+00,2.74542589549201903E-02,3.92749788617920037E-01,1.27282985217920877E-03,6.91011614204292164E-05,1.17704772473921631E-04,4.65871687154905734E-01,3.27323271883793931E-04,2.78719660830301530E-04,1.68048610367571363E-02
6.00000000000000000E+00,2.73330552980141049E-02,3.11843285162115957E-01,1.78062866667019629E-03,8.32042757211363775E-05,1.37575799045057872E-04,5.33794308697071340E-01,3.13220157583086892E-04,2.58848634259165424E-04,1.62224825316976545E-02
6.50000000000000000E+00,2.66807065464621657E-02,2.22399955714767561E-01,2.72665464506507364E-03,1.07403069017771656E-04,1.69109147055427836E-04,6.00275160461451684E-01,2.89021364286451735E-04,2.27315286248795461E-04,1.52496790237671067E-02
7.00000000000000000E+00,2.51926454083191143E-02,1.18011436326339328E-01,5.45938835325791155E-03,1.62193812832780125E-04,2.30636851374686779E-04,6.62243789196441779E-01,2.34230620471443225E-04,1.65787581929536544E-04,1.31860673175927690E-02
7.50000000000000000E+00,2.16371436863819801E-02,4.42520490378327160E-03,6.12820648664437681E-02,3.70167114183635930E-04,3.84622777369204101E-04,6.63863630775646807E-01,2.62573191205876512E-05,1.18016559350192208E-05,5.43357328001554431E-03
8.00000000000000000E+00,1.69057791480345491E-02,2.95646841295667674E-04,2.94949676314243847E-01,3.94969850467168917E-04,3.95708485802372329E-04,4.59893478024556879E-01,1.45458283705464031E-06,7.15947501850773805E-07,2.09726618724538020E-03
8.50000000000000000E+00,1.31801583652964138E-02,1.92881504044196950E-04,4.35812004248732454E-01,3.95496631820613090E-04,3.95962297545219557E-04,3.19142465385579388E-01,9.27801483610457720E-07,4.62135759003670726E-07,2.02692850083562937E-03
9.00000000000000000E+00,1.02758095279750633E-02,1.66249632691403703E-04,5.03399048741159816E-01,3.95629417396324090E-04,3.96027248011661360E-04,2.33293217564730815E-01,7.95015907899639209E-07,3.97185292561743668E-07,2.01872743489264631E-03
9.50000000000000000E+00,8.01308216916966909E-03,1.58736065675004151E-04,5.26530220749484079E-01,3.95667453640204006E-04,3.96045719064732271E-04,1.81127018918931570E-01,7.56979664019814898E-07,3.78714239490724097E-07,2.01638463215573875E-03
1.00000000000000000E+01,6.25071951894011577E-03,1.59688810019089760E-04,5.23278879081157555E-01,3.95664118380263381E-04,3.96043745620065963E-04,1.49460825847557877E-01,7.60314923960438457E-07,3.80687684157106949E-07,2.01622929403616263E-03
1.05000000000000000E+01,4.87838012357689338E-03,1.65589527211218912E-04,5.04822081980587201E-01,3.95636830694615354E-04,3.96029879511596797E-04,1.30259555247795311E-01,7.87602609608518342E-07,3.94553792626326006E-07,2.01726780825313640E-03
1.10000000000000000E+01,3.81000857083509158E-03,1.74993512917286331E-04,4.78057058649068778E-01,3.95592705495815362E-04,3.96007623015036945E-04,1.18636983713788030E-01,8.31727808408383581E-07,4.16810289186092319E-07,2.01911347101402846E-03
1.15000000000000000E+01,2.97853260953972500E-03,1.87254623038382286E-04,4.47226765961927009E-01,3.95534926503116806E-04,3.95978543023321630E-04,1.11624230687018350E-01,8.89506801106913046E-07,4.45890280901384286E-07,2.02159583482283819E-03
1.20000000000000000E+01,2.33169317005153245E-03,2.02097246186940422E-04,4.14924589889705320E-01,3.95464866083091577E-04,3.95943311516369449E-04,1.07418258228092228E-01,9.59567221132158196E-07,4.81121787853570857E-07,2.02463996820617144E-03
1.25000000000000000E+01,1.82878196032267687E-03,2.19445104591714464E-04,3.82715957214624869E-01,3.95382928928182046E-04,3.95902120696201411E-04,1.04924463719995781E-01,1.04150437604173511E-06,5.22312608021674892E-07,2.02822030227924185E-03
1.30000000000000000E+01,1.43809470390195214E-03,2.39344367404489242E-04,3.51523891558422397E-01,3.95288928719281316E-04,3.95854868836998124E-04,1.03478676375090159E-01,1.13550458494246654E-06,5.69564467225070608E-07,2.03234053556379871E-03
1.35000000000000000E+01,1.13494471967131227E-03,2.61927573895181609E-04,3.21869158506174646E-01,3.95182266441051946E-04,3.95801247322285089E-04,1.02678235101743440E-01,1.24216686317195183E-06,6.23185981938111849E-07,2.03702412017962376E-03
1.40000000000000000E+01,9.00114843537862968E-04,2.87392260760601617E-04,2.94020464681335136E-01,3.95062041936006432E-04,3.95740796268117092E-04,1.02279439995250923E-01,1.36239136821754231E-06,6.83637036106079753E-07,2.04230937550678926E-03
1.45000000000000000E+01,7.18650575850269960E-04,3.16002810203294931E-04,2.68089023766688084E-01,3.94927045161963411E-04,3.95672899696580924E-04,1.02135216593942063E-01,1.49738814226058590E-06,7.51533607642308223E-07,2.04824768455276604E-03
1.50000000000000000E+01,5.78920428878038572E-04,3.48072637270342342E-04,2.44088287410738569E-01,3.94775817191463302E-04,3.95596815445562648E-04,1.02157351138787281E-01,1.64861611276063387E-06,8.27617858660513123E-07,2.05490245129483088E-03
1.55000000000000000E+01,4.71883838083768164E-04,3.83980557553013110E-04,2.21971995472338091E-01,3.94606623023305942E-04,3.95511659155345949E-04,1.02293526181683456E-01,1.81781028091787582E-06,9.12774148877313315E-07,2.06234941132564607E-03
1.60000000000000000E+01,3.90521416755695340E-04,4.24171021066035352E-04,2.01658472662159166E-01,3.94417414759372831E-04,3.95416387114831669E-04,1.02513424605853318E-01,2.00701854485119648E-06,1.00804618939153873E-06,2.07067756913562225E-03
1.65000000000000000E+01,3.29391473276375614E-04,4.69162986269405411E-04,1.83046230548087829E-01,3.94205828443069636E-04,3.95309792666856570E-04,1.02800310334847225E-01,2.21860486115446025E-06,1.11464063736677968E-06,2.07999055790667169E-03
1.70000000000000000E+01,2.84286388304539912E-04,5.19561150233819832E-04,1.66023972073190723E-01,3.93969090656345314E-04,3.95190458171518699E-04,1.03145968989994327E-01,2.45534264787877829E-06,1.23397513270462740E-06,2.09040924969649926E-03
1.75000000000000000E+01,2.51958136893047722E-04,5.76074992823006303E-04,1.50476999885771207E-01,3.93703973025862433E-04,3.95056730927968670E-04,1.03547635704663021E-01,2.72046027836167560E-06,1.36770237625466171E-06,2.10207459420939068E-03
1.80000000000000000E+01,2.29923104617763577E-04,6.39541347606535876E-04,1.36291249406445408E-01,3.93406686100570137E-04,3.94906665752243363E-04,1.04006277982040068E-01,3.01774720365391002E-06,1.51776755197987146E-06,2.11515163666927937E-03
1.85000000000000000E+01,2.16291009276961381E-04,7.10950813320380135E-04,1.23355787963520883E-01,3.93072751636809440E-04,3.94737961794410538E-04,1.04525542610334310E-01,3.35168166741451560E-06,1.68647150981260461E-06,2.12983560276451761E-03
